comment,sentiment
back brev,neutral
hell happened round,negative
ginger outed calling tobi spy bo one clocked,neutral
please dont invite jynxi,positive
pls post among us every weeks,positive
back jynxzi ethan immediately killed jynxzi panicked warning lazar reported matter micro seconds shot jynxzis fault jynxzi played fantastic lost cuz harry lazar better friends,negative
hi,neutral
really said onion wanna ishowspeed,neutral
spoiler blocker spoiler blocker spoiler blocker spoiler blocker spoiler blocker,neutral
lowkey missing videos,negative
imagine simon danny also video,neutral
need caseoh among us,neutral
dub video mannnnn sesshh,neutral
jynxzis nostrills make heart shape,positive
,neutral
,neutral
love sidemen please come visit hve ayndrome make wish love ksi lamborghni lamborghini lamborghini,positive
miss inside,negative
know see whats happening perspective guys please least learn roles,positive
chaos makes fun kills watch omg,negative
first game,neutral
lazar beam say,neutral
waiting sidemen among us vid long time point watched old vids videos,neutral
jnx good r bro,positive
ginge jj sound like kind intelligent person jj voting ginge,positive
jynxzi facetimed ging discord,negative
finally,neutral
first round best thing ever seen keeps happening cant stop laughing,positive
behz literally baited much last game saying jj must jackel,positive
lazarbeam laughing,positive
deji getting toast every round,neutral
nah even glazing best sidemen among us opinion,positive
actually something wrong jynxi volume control bad camera angle constantly playing tshirt like hes drugs one wants see stomach mate dont invite back next time hes lowered quality video,negative
every like comment gets push,positive
harry dumbest player ever painful watch sometimes,negative
get jynxzi please,positive
brain braining keeping track whos playing role actual fcck going,positive
people felt bad g deji,negative
first game unreal,neutral
touching jynxzi ferociously vigorously beating lazar,negative
jj actually big brain move,positive
ginge kills teammate erases lawyers role gotta worst disasterclass oat,negative
hell watch brev,negative
oi harry belting nines top,positive
imposter team ppl imposters lawyer lover somehow managed lose,positive
erase noses,neutral
layser said n word,neutral
ginge understanding role beyond,neutral
need,neutral
idk think jinx,negative
lazar harrys baby also lazar wish could stab,negative
best group yet,positive
really shows intelligence people dont even read roles,positive
best sidemen among us ever,positive
hour among us perfect,positive
jj mbp vid doubt,negative
poor deji killed first st times im pretty sure edit times pretty sure,positive
love sidemen among us,positive
simonsidawgminiminter,neutral
plz get rid jynxy annoying even watch,negative
